Gene;symbol;log2FoldChange;padj
ENSMUSG00000046179.17;E2f8;2.124023311;1.4807E-11
ENSMUSG00000022390.11;Zc3h7b;2.121488151;5.02885E-37
ENSMUSG00000074093.4;Svip;2.121131131;1.57736E-07
ENSMUSG00000037325.10;Bbs7;2.113985667;7.05959E-22
ENSMUSG00000025453.18;Nnt;2.111233596;2.95677E-07
ENSMUSG00000099041.1;NA;2.108714301;0.002142411
ENSMUSG00000036766.12;Dner;2.106196702;0.000198392
ENSMUSG00000031373.4;Car5b;2.102698781;1.16811E-16
ENSMUSG00000020086.6;Macroh2a2;2.098632519;0.002499699
ENSMUSG00000028678.13;Kif2c;2.09665206;3.81884E-06
ENSMUSG00000026765.12;Lypd6b;2.092749612;0.002305485
ENSMUSG00000014158.12;Trpv4;2.091032288;4.92042E-29
ENSMUSG00000074141.13;Il4i1;2.088033529;3.82471E-12
ENSMUSG00000001305.5;Rrp15;2.08504673;6.65401E-15
ENSMUSG00000048240.14;Gng7;2.08374422;0.000245929
ENSMUSG00000024299.17;Adamts10;2.080440779;1.13274E-27
ENSMUSG00000025328.9;Padi3;2.074583796;0.003316017
ENSMUSG00000060044.8;Tmem26;2.074390315;0.032201745
ENSMUSG00000078144.4;Capns2;2.071725162;0.007919535
ENSMUSG00000074738.2;Fndc10;2.070502579;0.019196456
ENSMUSG00000068747.14;Sort1;2.067155004;1.02701E-71
ENSMUSG00000039270.9;Megf9;2.063063762;1.20289E-35
ENSMUSG00000068740.13;Celsr2;2.062699537;0.008913037
ENSMUSG00000031458.8;Coprs;2.059126345;1.16689E-17
ENSMUSG00000039197.10;Adk;2.055630526;2.30151E-38
ENSMUSG00000029553.10;Tfec;2.05519681;1.44905E-29
ENSMUSG00000058794.12;Nfe2;2.046454588;3.43254E-06
ENSMUSG00000009292.18;Trpm2;2.046142909;9.08816E-17
ENSMUSG00000028100.11;Nudt17;2.044206194;0.014264971
ENSMUSG00000028069.16;Gpatch4;2.044143136;1.1641E-09
ENSMUSG00000022421.19;Nptxr;2.042919562;0.000378392
ENSMUSG00000001467.5;Cyp51;2.040828605;3.11542E-52
ENSMUSG00000054932.6;Afp;2.039796179;4.76547E-05
ENSMUSG00000020282.18;Rhbdf1;2.037995242;4.15288E-09
ENSMUSG00000068115.13;Ninl;2.037362219;9.18522E-05
ENSMUSG00000058099.16;Nfam1;2.03570707;1.3737E-240
ENSMUSG00000022322.8;Shcbp1;2.034917119;6.33647E-05
ENSMUSG00000032679.12;Cd59a;2.033710396;0.002499699
ENSMUSG00000024174.9;Pot1b;2.033032127;4.31845E-24
ENSMUSG00000039239.14;Tgfb2;2.033024816;1.84072E-34
ENSMUSG00000069830.10;Nlrp1a;2.032069709;6.56724E-11
ENSMUSG00000027860.15;Vangl1;2.031139269;0.002487617
ENSMUSG00000058070.14;Eml1;2.030269807;1.73402E-15
ENSMUSG00000024675.19;Ms4a4c;2.026470054;8.66603E-14
ENSMUSG00000032783.9;Troap;2.025496372;0.005722002
ENSMUSG00000029096.15;Htra3;2.02217071;6.36981E-05
ENSMUSG00000029720.9;NA;2.011661814;1.11475E-21
ENSMUSG00000038884.14;Shfl;2.011581823;1.90173E-11
ENSMUSG00000096145.2;Vkorc1;2.010460849;3.13112E-12
ENSMUSG00000030946.13;Lhpp;2.00565483;1.76771E-14
ENSMUSG00000025492.6;Ifitm3;2.005586857;1.38368E-54
ENSMUSG00000028957.12;Per3;2.002533628;5.28091E-18
ENSMUSG00000020284.16;Cfap410;2.000724991;2.9869E-33
ENSMUSG00000029821.15;Gsdme;1.997887876;1.74097E-15
ENSMUSG00000022587.14;Ly6e;1.997676263;5.71846E-57
ENSMUSG00000061838.7;Suclg2;1.997449096;3.02098E-46
ENSMUSG00000027478.15;Dnmt3b;1.996826514;3.32342E-07
ENSMUSG00000026558.13;Uck2;1.996118707;4.15732E-17
ENSMUSG00000054931.7;Zkscan4;1.995705118;0.039139341
ENSMUSG00000043419.11;Rnf227;1.995541082;1.21924E-05
ENSMUSG00000027364.14;Usp50;1.989755187;0.009543489
ENSMUSG00000030761.16;Myo7a;1.988673598;2.16947E-61
ENSMUSG00000008035.12;Mid1ip1;1.985397237;5.75421E-58
ENSMUSG00000032554.15;Trf;1.984591756;3.01024E-39
ENSMUSG00000043832.13;Clec4a3;1.984446101;1.00358E-70
ENSMUSG00000062585.11;Cnr2;1.979715473;4.35275E-07
ENSMUSG00000062488.9;Ifit3b;1.977076118;3.44207E-07
ENSMUSG00000029090.12;Adgra3;1.974596036;3.4777E-16
ENSMUSG00000026389.16;Steap3;1.974435413;8.09461E-27
ENSMUSG00000029484.12;Anxa3;1.97011337;1.46479E-80
ENSMUSG00000019256.17;Ahr;1.967826533;2.81526E-21
ENSMUSG00000060429.12;Sntb1;1.967563356;4.84219E-05
ENSMUSG00000058290.4;Espl1;1.966365963;3.60673E-13
ENSMUSG00000020262.15;Adarb1;1.966018129;8.71939E-38
ENSMUSG00000040855.15;Reps2;1.963151128;8.05665E-05
ENSMUSG00000024044.19;Epb41l3;1.962256792;5.85543E-19
ENSMUSG00000034634.7;Ly6d;1.961912744;7.62031E-08
ENSMUSG00000019942.13;Cdk1;1.960329872;6.80446E-11
ENSMUSG00000035504.16;Reep6;1.957755302;0.043112106
ENSMUSG00000005410.6;Mcm5;1.955748173;4.15859E-11
ENSMUSG00000036862.15;Dchs1;1.953407007;0.000327112
ENSMUSG00000030579.10;Tyrobp;1.950225842;1.4761E-133
ENSMUSG00000022941.8;Ripply3;1.948615068;0.006455505
ENSMUSG00000035067.9;Xkr6;1.948322826;0.0001071
ENSMUSG00000021638.12;Ocln;1.947301093;1.47979E-05
ENSMUSG00000024268.16;Celf4;1.945589247;0.011149641
ENSMUSG00000024736.15;Tmem132a;1.945088554;3.7902E-07
ENSMUSG00000028010.16;Gar1;1.943853948;3.88422E-09
ENSMUSG00000039217.13;Il18;1.943112189;1.15765E-30
ENSMUSG00000049086.8;Bmyc;1.942121085;1.12043E-06
ENSMUSG00000020042.15;Btbd11;1.940624841;0.010341798
ENSMUSG00000048200.12;Cracr2b;1.936938538;5.83464E-11
ENSMUSG00000006014.16;Prg4;1.931390029;3.75064E-59
ENSMUSG00000032377.8;Plscr4;1.929478622;0.002171884
ENSMUSG00000031740.8;Mmp2;1.927195603;0.003482488
ENSMUSG00000031432.3;Prps1;1.926518717;3.09124E-12
ENSMUSG00000050244.9;Heatr1;1.925199028;1.85548E-50
ENSMUSG00000027654.2;Fam83d;1.921452519;0.018337685
ENSMUSG00000030109.15;Slc6a12;1.92086278;1.23547E-34
ENSMUSG00000028988.13;Ctnnbip1;1.919832559;1.23604E-09
ENSMUSG00000000325.16;Arvcf;1.91461374;2.83632E-05
ENSMUSG00000025058.4;5430427O19Rik;1.913476682;1.52703E-21
ENSMUSG00000021880.7;Rnase6;1.91156943;0.02496369
ENSMUSG00000021273.11;Fdft1;1.909277642;2.42025E-52
ENSMUSG00000021175.15;Cdca7l;1.908593835;6.12383E-10
ENSMUSG00000028807.2;Zbtb8a;1.904645224;0.000352936
ENSMUSG00000032892.14;Rangrf;1.903066345;0.000406231
ENSMUSG00000063445.14;Nmral1;1.901115682;3.03899E-10
ENSMUSG00000020105.9;Lrig3;1.900058475;0.000753858
ENSMUSG00000036052.14;Dnajb5;1.898460806;3.42828E-38
ENSMUSG00000005836.10;Gata6;1.89668542;5.07095E-14
ENSMUSG00000030872.14;Gga2;1.895626199;6.98216E-64
ENSMUSG00000002980.14;Bcam;1.895112123;4.99037E-39
ENSMUSG00000022033.9;Pbk;1.894518461;0.018873728
ENSMUSG00000025911.14;Adhfe1;1.889978128;2.0885E-13
ENSMUSG00000049709.4;Nlrp10;1.888818698;5.73283E-05
ENSMUSG00000004933.17;Matk;1.887992578;5.17295E-11
ENSMUSG00000017607.9;Tns4;1.886239344;6.70609E-27
ENSMUSG00000022817.15;Itgb5;1.884732982;6.13868E-24
ENSMUSG00000003665.7;Has1;1.882782995;1.30384E-05
ENSMUSG00000006576.16;Slc4a3;1.879648778;0.019375523
ENSMUSG00000036867.7;Smad6;1.87964282;2.74134E-41
ENSMUSG00000004356.8;Utp20;1.878012533;8.31128E-18
ENSMUSG00000027889.17;Ampd2;1.876562863;5.08706E-65
ENSMUSG00000058006.12;Mdn1;1.866200965;1.77389E-26
ENSMUSG00000031778.13;Cx3cl1;1.859366694;0.015524369
ENSMUSG00000074272.10;Ceacam1;1.858827724;1.04646E-19
ENSMUSG00000030207.15;Fam234b;1.858352852;1.03063E-11
ENSMUSG00000044309.8;Apol7c;1.855784847;2.28932E-05
ENSMUSG00000004371.15;Il11;1.853619783;0.017096103
ENSMUSG00000042035.11;Igsf3;1.852762369;9.88703E-09
ENSMUSG00000029759.9;Pon3;1.852728281;3.4343E-106
ENSMUSG00000037601.11;Nme1;1.851962776;1.89681E-14
ENSMUSG00000057722.17;Lepr;1.851482646;0.00569548
ENSMUSG00000020532.18;Acaca;1.848028962;8.23738E-23
ENSMUSG00000039747.11;Orai2;1.842601194;7.49109E-69
ENSMUSG00000016552.13;Foxred2;1.836919236;3.64656E-37
ENSMUSG00000030729.17;Pgm2l1;1.833679174;1.11789E-13
ENSMUSG00000001552.14;Jup;1.830744153;1.19367E-16
ENSMUSG00000024165.9;Jpt2;1.829753114;1.92138E-38
ENSMUSG00000035704.17;Alg8;1.828459278;3.18976E-17
ENSMUSG00000057132.16;Rpgrip1;1.827635379;0.024865781
ENSMUSG00000020648.3;Dus4l;1.82232046;2.60931E-06
ENSMUSG00000022351.14;Sqle;1.819238809;7.15548E-40
ENSMUSG00000024451.9;Arap3;1.812110572;2.68004E-08
ENSMUSG00000024505.16;Dtwd2;1.81072924;0.000187734
ENSMUSG00000024177.9;Nme4;1.807833933;1.13354E-05
ENSMUSG00000023393.15;Slc17a9;1.805962614;2.55618E-10
ENSMUSG00000037805.15;Rpl10a;1.803783698;8.0726E-57
ENSMUSG00000030724.7;Cd19;1.801883496;1.64438E-06
ENSMUSG00000038372.14;Gmds;1.80146157;5.11166E-12
ENSMUSG00000028184.12;Adgrl2;1.800338743;1.26328E-14
ENSMUSG00000073010.9;Gm5127;1.798000923;0.014795677
ENSMUSG00000048621.3;Gm6377;1.797597788;7.23365E-35
ENSMUSG00000103585.1;Pcdhgb4;1.795928101;9.7674E-06
ENSMUSG00000046806.13;Cyren;1.791377564;5.82293E-15
ENSMUSG00000031482.9;Slc25a15;1.787960707;9.67986E-19
ENSMUSG00000079478.9;Znrd2;1.778077365;6.97874E-06
ENSMUSG00000024378.9;Stard4;1.776096726;5.09249E-59
ENSMUSG00000089669.7;Tnfsf13;1.775073185;2.3568E-13
ENSMUSG00000086564.9;Cd101;1.771273717;2.25605E-06
ENSMUSG00000032066.9;Bco2;1.771124471;6.97444E-13
ENSMUSG00000039629.14;Strip2;1.76962451;0.029209822
ENSMUSG00000022265.7;Ank;1.7682166;1.00759E-31
ENSMUSG00000039607.16;Rbms3;1.768141433;0.005332857
ENSMUSG00000078202.3;Nrarp;1.767985408;0.008092349
ENSMUSG00000029366.10;Dck;1.766171499;2.26972E-53
ENSMUSG00000040212.12;Emp3;1.765892454;1.33981E-68
ENSMUSG00000025001.11;Hells;1.763511032;1.33759E-06
ENSMUSG00000034487.4;Poglut3;1.763466429;1.36494E-05
ENSMUSG00000050370.5;Ch25h;1.762848852;3.834E-05
ENSMUSG00000040093.16;Bmf;1.760475087;3.22638E-11
ENSMUSG00000002870.8;Mcm2;1.759388972;5.58049E-17
ENSMUSG00000042978.11;Sbk1;1.757374843;4.86861E-49
ENSMUSG00000070044.15;Fam149a;1.756432418;5.93107E-05
ENSMUSG00000043557.16;Mdga1;1.755617831;6.94865E-07
ENSMUSG00000030844.11;Rgs10;1.755159792;6.66594E-44
ENSMUSG00000026360.9;Rgs2;1.754485343;1.99981E-11
ENSMUSG00000054905.2;Stfa3;1.754297491;1.75815E-09
ENSMUSG00000026187.9;Xrcc5;1.753059476;6.77676E-06
ENSMUSG00000029414.11;Kntc1;1.752367337;8.39115E-06
ENSMUSG00000026126.15;Ptpn18;1.751576064;7.17129E-17
ENSMUSG00000024312.10;Wdr46;1.751371434;3.47902E-20
ENSMUSG00000060098.11;Prmt7;1.750987482;2.80498E-13
ENSMUSG00000035168.16;Tanc1;1.7488623;1.30739E-23
ENSMUSG00000024673.9;Ms4a1;1.748023224;6.70804E-07
ENSMUSG00000045934.15;Mtmr11;1.745462411;0.00074586
ENSMUSG00000026700.4;Tnfsf4;1.741120977;0.004464892
ENSMUSG00000055148.7;Klf2;1.739710113;3.25928E-22
ENSMUSG00000037341.14;Slc9a7;1.73702448;1.46753E-05
ENSMUSG00000039377.7;Hlx;1.734975968;1.24371E-68
ENSMUSG00000031129.9;Slc9a9;1.733598996;2.54806E-05
ENSMUSG00000042734.6;Ttc9;1.733106328;5.70313E-05
ENSMUSG00000044629.5;Cnrip1;1.731375264;0.037162021
ENSMUSG00000028910.12;Mecr;1.729107063;1.56406E-15
ENSMUSG00000056602.12;Fry;1.728393143;2.0201E-08
ENSMUSG00000069662.5;Marcks;1.728053243;2.53927E-43
ENSMUSG00000073418.4;C4b;1.725102699;1.18042E-05
ENSMUSG00000020741.17;Cluh;1.722857683;3.73254E-44
ENSMUSG00000026315.13;Serpinb8;1.722587989;2.0695E-58
ENSMUSG00000018381.15;Abi3;1.722553056;1.86807E-15
ENSMUSG00000038775.14;Vill;1.722453729;9.97916E-12
ENSMUSG00000071369.11;Map3k5;1.720846009;2.6608E-61
ENSMUSG00000013033.16;Adgrl1;1.717814751;4.92191E-09
ENSMUSG00000022686.14;B3gnt5;1.716204333;3.25649E-11
ENSMUSG00000021097.15;Clmn;1.715025523;6.92207E-06
ENSMUSG00000039713.17;Plekhg5;1.708296056;1.11136E-05
ENSMUSG00000036565.7;Ttyh3;1.707992259;7.69506E-20
ENSMUSG00000003779.16;Kif20a;1.707404379;8.84753E-08
ENSMUSG00000046865.7;Fbl;1.706072201;2.00921E-29
ENSMUSG00000039741.15;Bahcc1;1.705456364;4.84725E-05
ENSMUSG00000040557.14;Mettl27;1.703620738;7.47279E-05
ENSMUSG00000030346.16;Rad51ap1;1.702252233;0.003237552
ENSMUSG00000033857.12;Engase;1.697492873;3.55766E-07
ENSMUSG00000017639.13;Rab11fip4;1.692671447;6.42591E-15
ENSMUSG00000040152.8;Thbs1;1.690252795;1.2752E-43
ENSMUSG00000075028.12;Prdm11;1.689784618;0.002011508
ENSMUSG00000056665.2;Them6;1.689411597;1.02259E-11
ENSMUSG00000030465.19;Psd3;1.688348886;3.90067E-06
ENSMUSG00000052563.13;D930048N14Rik;1.687372905;0.012336446
ENSMUSG00000026238.14;Ptma;1.68382953;7.8212E-104
ENSMUSG00000005107.13;Slc2a9;1.682188326;5.96003E-11
ENSMUSG00000025732.6;Mcrip2;1.681124503;7.45731E-06
ENSMUSG00000048772.15;Tmem53;1.674898232;0.008133013
ENSMUSG00000028456.18;Unc13b;1.672773308;1.22697E-09
ENSMUSG00000020541.12;Tom1l1;1.67273821;0.026019686
ENSMUSG00000026622.15;Nek2;1.672523094;1.76312E-07
ENSMUSG00000069607.4;Cd300ld3;1.672295873;1.96347E-24
ENSMUSG00000090958.2;Lrrc32;1.671395435;9.07773E-12
ENSMUSG00000053907.10;Mat2a;1.670586676;4.46631E-35
ENSMUSG00000017176.17;Nt5c3b;1.670536543;2.12427E-18
ENSMUSG00000051379.12;Flrt3;1.670489526;0.001032025
ENSMUSG00000001918.17;Slc1a5;1.669720753;2.83554E-35
ENSMUSG00000045838.8;Ccdc9b;1.668110247;2.4229E-07
ENSMUSG00000026390.7;Marco;1.667716125;8.08015E-20
ENSMUSG00000041540.16;Sox5;1.665433679;0.002384457
ENSMUSG00000000732.9;Icosl;1.665316402;2.16731E-10
ENSMUSG00000013415.9;Igf2bp1;1.664376793;1.12996E-21
ENSMUSG00000052160.7;Pld4;1.663833698;1.30459E-13
ENSMUSG00000056209.7;Npm3;1.663644004;2.77295E-13
ENSMUSG00000030064.16;Frmd4b;1.660800851;0.001529254
ENSMUSG00000028542.17;Slc6a9;1.658711717;1.28566E-10
ENSMUSG00000022372.14;Sla;1.658487279;1.95857E-29
ENSMUSG00000017002.14;Slpi;1.658131833;2.75522E-14
ENSMUSG00000026580.16;Selp;1.657860901;0.039093544
ENSMUSG00000053801.18;Grwd1;1.656360386;2.98593E-07
ENSMUSG00000036278.7;Macrod1;1.655049988;0.002476002
ENSMUSG00000046006.6;Gapt;1.653190369;4.23324E-07
ENSMUSG00000018983.9;E2f2;1.649123492;3.7387E-07
ENSMUSG00000033952.14;Aspm;1.648110762;7.39525E-06
ENSMUSG00000024228.12;Nudt12;1.64662645;0.005624397
ENSMUSG00000038668.14;Lpar1;1.645742388;4.16466E-18
ENSMUSG00000055322.15;Tns1;1.644984061;3.85961E-08
ENSMUSG00000051373.5;Plpp7;1.642751369;0.040691286
ENSMUSG00000041180.13;Hectd2;1.642481796;3.69441E-08
ENSMUSG00000020649.11;Rrm2;1.639309572;1.68555E-08
ENSMUSG00000027395.15;Polr1b;1.638126681;5.57922E-17
ENSMUSG00000032092.5;Mpzl2;1.63425843;0.00900183
ENSMUSG00000031659.13;Adcy7;1.633199279;1.7174E-106
ENSMUSG00000021646.9;Mccc2;1.632495439;8.21507E-08
ENSMUSG00000040899.14;Ccr6;1.629058679;3.5741E-06
ENSMUSG00000031565.18;Fgfr1;1.628590111;2.87254E-23
ENSMUSG00000063193.9;Cd300lb;1.623923387;2.70915E-62
ENSMUSG00000075122.5;Cd80;1.623387823;6.30612E-12
ENSMUSG00000028780.13;Sema3c;1.621067028;9.35057E-11
ENSMUSG00000028389.12;Zfp37;1.62092198;0.041811985
ENSMUSG00000032279.11;Idh3a;1.620209749;8.01249E-19
ENSMUSG00000063605.5;Ccdc102a;1.619535372;0.003505438
ENSMUSG00000030852.18;Tacc2;1.618584555;1.61266E-06
ENSMUSG00000041506.15;Rrp9;1.617621639;4.02827E-11
ENSMUSG00000031144.15;Syp;1.613137024;8.04531E-05
ENSMUSG00000018446.8;C1qbp;1.612314293;7.74092E-20
ENSMUSG00000002319.16;Ipo4;1.609491404;6.15039E-21
ENSMUSG00000020787.14;P2rx1;1.605196033;0.000868792
ENSMUSG00000026932.14;Nacc2;1.603161558;1.51401E-22
ENSMUSG00000046598.15;Bdh1;1.603044743;0.001869536
ENSMUSG00000010048.10;Ifrd2;1.602747241;3.37454E-07
ENSMUSG00000026020.9;Nop58;1.602357133;3.22867E-09
ENSMUSG00000019194.15;Scn1b;1.601403203;8.74332E-12
ENSMUSG00000035455.12;Fignl1;1.60001684;5.79171E-07
ENSMUSG00000027009.18;Itga4;1.599228437;5.37049E-17
ENSMUSG00000028587.18;Orc1;1.598897684;0.013996227
ENSMUSG00000037742.14;Eef1a1;1.596876755;5.91019E-89
ENSMUSG00000062991.9;Nrg1;1.596521378;1.84051E-24
ENSMUSG00000051586.17;Mical3;1.595653119;2.11454E-08
ENSMUSG00000001300.16;Efnb2;1.593951521;3.34881E-30
ENSMUSG00000000552.10;Zfp385a;1.593282464;1.68156E-28
ENSMUSG00000032254.10;Kif23;1.593188376;6.49244E-07
ENSMUSG00000030272.15;Camk1;1.592002342;1.75023E-35
ENSMUSG00000032507.15;Fbxl2;1.591645312;1.16436E-08
ENSMUSG00000051367.8;Six1;1.591356164;0.000357816
ENSMUSG00000020914.17;Top2a;1.587634532;1.88084E-17
ENSMUSG00000035769.9;Xylb;1.587446787;5.0936E-10
ENSMUSG00000020897.12;Aurkb;1.586297873;7.59369E-05
ENSMUSG00000020739.11;Nup85;1.585875036;2.03616E-18
ENSMUSG00000032470.17;Mras;1.580786253;1.1682E-06
ENSMUSG00000020102.15;Slc16a7;1.580727758;2.50103E-09
ENSMUSG00000036882.7;Arhgap33;1.580158964;0.044619297
ENSMUSG00000052085.7;Dock8;1.576537546;1.52615E-53
ENSMUSG00000032218.7;Ccnb2;1.5750975;0.000297901
ENSMUSG00000039748.11;Exo1;1.574026465;0.014672016
ENSMUSG00000073422.11;H2-Ke6;1.572962252;1.01324E-11
ENSMUSG00000021779.17;Thrb;1.572544643;0.008927736
ENSMUSG00000032026.7;Rexo2;1.572117751;3.16859E-52
ENSMUSG00000022962.15;Gart;1.572115779;1.12541E-51
ENSMUSG00000044080.9;S100a1;1.572070485;3.99242E-29
ENSMUSG00000025036.7;Sfxn2;1.570828714;1.54817E-16
ENSMUSG00000032527.13;Pccb;1.570658049;1.65595E-15
ENSMUSG00000022540.16;Rogdi;1.570538721;7.19889E-12
ENSMUSG00000043939.15;A530064D06Rik;1.570289864;8.38149E-11
ENSMUSG00000019990.15;Pde7b;1.568746085;5.56488E-17
ENSMUSG00000014778.10;Fhod1;1.567448626;6.66542E-76
ENSMUSG00000040187.15;Arntl2;1.566311547;0.033731187
ENSMUSG00000020706.13;Ftsj3;1.565457677;7.33322E-22
ENSMUSG00000064373.12;Selenop;1.56153973;0.01179497
ENSMUSG00000048371.8;Pdp2;1.558133345;3.5065E-22
ENSMUSG00000026153.15;Fam135a;1.556640344;4.16653E-14
ENSMUSG00000020857.11;Nme2;1.556473397;1.72559E-52
ENSMUSG00000003379.7;Cd79a;1.554897166;4.85412E-07
ENSMUSG00000037071.3;Scd1;1.554872527;6.45355E-08
ENSMUSG00000019874.11;Fabp7;1.55449359;1.79804E-18
ENSMUSG00000007029.16;Vars;1.553947331;6.03827E-45
ENSMUSG00000005124.10;Ccn4;1.550616396;0.013343235
ENSMUSG00000031403.14;Dkc1;1.550093652;1.50968E-09
ENSMUSG00000023921.9;Mmut;1.549956053;2.21293E-43
ENSMUSG00000014786.8;Slc9a5;1.547020395;1.45756E-05
ENSMUSG00000007080.14;Pole;1.546588459;8.72711E-05
ENSMUSG00000030188.12;Magohb;1.543895229;3.87275E-09
ENSMUSG00000090290.2;Tarbp1;1.543398599;1.09705E-17
ENSMUSG00000063558.4;Aox1;1.541563262;5.64175E-05
ENSMUSG00000072568.4;Lratd2;1.541024198;1.57192E-19
ENSMUSG00000078532.9;Nkain1;1.54045278;0.009510951
ENSMUSG00000022814.6;Umps;1.538453943;2.73027E-30
ENSMUSG00000050192.8;Eif5a2;1.535981077;1.10833E-10
ENSMUSG00000051506.17;Wdfy4;1.534339122;3.32722E-62
ENSMUSG00000042286.13;Stab1;1.534012481;2.1013E-27
ENSMUSG00000042680.8;Garem1;1.531935036;0.009510951
ENSMUSG00000044551.13;9930012K11Rik;1.529942906;0.013166256
ENSMUSG00000022122.15;Ednrb;1.529941912;4.1898E-143
ENSMUSG00000017740.17;Slc12a5;1.529238132;1.29932E-06
ENSMUSG00000024078.7;Ttc27;1.527048944;1.02216E-11
ENSMUSG00000017978.18;Cadps2;1.525824358;6.98389E-08
ENSMUSG00000045411.16;2410002F23Rik;1.524886058;5.03271E-23
ENSMUSG00000028741.13;Mrto4;1.524870679;2.46342E-12
ENSMUSG00000029455.14;Aldh2;1.524559319;2.21194E-63
ENSMUSG00000028565.18;Nfia;1.524397302;0.000274915
ENSMUSG00000046768.13;Rhoj;1.523485767;0.046602704
ENSMUSG00000020150.13;Gamt;1.522239693;4.46035E-06
ENSMUSG00000021892.14;Sh3bp5;1.519260503;6.92027E-33
ENSMUSG00000066456.14;Hmgn3;1.517191924;3.45767E-07
ENSMUSG00000031995.9;St14;1.515052746;3.43385E-13
ENSMUSG00000102742.1;Pcdhga11;1.514456748;0.004004889
ENSMUSG00000031779.3;Ccl22;1.513731596;0.000469186
ENSMUSG00000026958.13;Dpp7;1.512646286;2.16499E-26
ENSMUSG00000038843.18;Gcnt1;1.511885227;6.30248E-13
ENSMUSG00000050994.20;Adgb;1.511121942;1.29772E-80
ENSMUSG00000044583.13;Tlr7;1.509937618;4.36769E-63
ENSMUSG00000038421.13;Fcrla;1.506715579;0.000118857
ENSMUSG00000044442.11;N6amt1;1.506369326;3.41982E-10
ENSMUSG00000042377.8;Fam83g;1.505424272;0.000266278
ENSMUSG00000049580.12;Tsku;1.503010377;6.46938E-50
ENSMUSG00000024430.14;Cabyr;1.50251044;0.045492656
ENSMUSG00000095930.1;Nim1k;1.50245023;0.001474643
ENSMUSG00000053706.2;NA;1.502354938;0.024867127
ENSMUSG00000024403.16;Atp6v1g2;1.500995378;0.00024881
ENSMUSG00000021303.14;Gng4;-1.50295909;0.024720979
ENSMUSG00000000628.10;Hk2;-1.502998064;5.46856E-81
ENSMUSG00000078898.9;Zfp968;-1.503727398;6.01118E-07
ENSMUSG00000109771.1;Gm35315;-1.505402626;6.11474E-06
ENSMUSG00000042506.15;Usp22;-1.508305129;1.52372E-88
ENSMUSG00000037447.16;Arid5a;-1.508791316;1.33659E-41
ENSMUSG00000079298.9;Klrb1b;-1.510022346;0.009714442
ENSMUSG00000039841.14;Zfp800;-1.510296415;1.67304E-47
ENSMUSG00000006342.15;Susd2;-1.510690368;2.85576E-09
ENSMUSG00000095362.7;Gm14325;-1.51075795;6.2652E-09
ENSMUSG00000028460.6;Sit1;-1.512492878;0.010258973
