interactor_1,intaraction_type,intaractor_2
mmu-let-7c-1-3p,1,Cdh11
mmu-let-7c-1-3p,1,Cldn23
mmu-let-7c-1-3p,1,Hivep2
mmu-let-7c-1-3p,1,Mt2
mmu-let-7c-1-3p,1,Otud1
mmu-let-7c-1-3p,1,Scamp5
mmu-miR-134-5p,2,Hyal1
mmu-miR-144-3p,1,Tnfsf11
mmu-miR-144-3p,1,Zdhhc21
mmu-miR-147-5p,2,Ammecr1l
mmu-miR-147-5p,2,Cd200
mmu-miR-147-5p,2,Mylip
mmu-miR-147-5p,2,Ppbp
mmu-miR-147-5p,2,Rab33a
mmu-miR-147-5p,2,Tmem98
mmu-miR-182-5p,2,Adcy6
mmu-miR-182-5p,2,Fgf9
mmu-miR-182-5p,2,Has2
mmu-miR-182-5p,2,Nckap1
mmu-miR-182-5p,2,Ncoa4
mmu-miR-182-5p,2,Palld
mmu-miR-182-5p,2,Rab6b
mmu-miR-182-5p,2,Rnf152
mmu-miR-182-5p,2,Tagln3
mmu-miR-182-5p,2,Tns3
mmu-miR-182-5p,2,Usp13
mmu-miR-183-5p,2,Ctdspl
mmu-miR-183-5p,2,Frmd6
mmu-miR-183-5p,2,Grem2
mmu-miR-183-5p,2,Idh2
mmu-miR-183-5p,2,Unc13b
mmu-miR-300-3p,2,Syt11
mmu-miR-370-3p,2,Artn
mmu-miR-370-3p,2,Stap1
mmu-miR-455-5p,2,Mylip
mmu-miR-466i-3p,2,Adamts9
mmu-miR-466i-3p,2,B3gnt2
mmu-miR-466i-3p,2,Casz1
mmu-miR-466i-3p,2,Cdk12
mmu-miR-466i-3p,2,Egr3
mmu-miR-466i-3p,2,Htr2b
mmu-miR-466i-3p,2,Inpp4b
mmu-miR-466i-3p,2,Plag1
mmu-miR-466i-3p,2,Rnf152
mmu-miR-466i-3p,2,Sox5
mmu-miR-466i-3p,2,Tns3
mmu-miR-466i-3p,2,Zfp808
mmu-miR-486a-3p,1,Adamts4
mmu-miR-486a-3p,1,Bgn
mmu-miR-486a-3p,1,Ccl22
mmu-miR-486a-3p,1,Dusp8
mmu-miR-486a-3p,1,Fam102a
mmu-miR-486a-3p,1,Fcgr4
mmu-miR-486a-3p,1,Flnc
mmu-miR-486a-3p,1,Glis2
mmu-miR-486a-3p,1,Hmga1
mmu-miR-486a-3p,1,Ifitm1
mmu-miR-486a-3p,1,Il2rb
mmu-miR-486a-3p,1,Nat8l
mmu-miR-486a-3p,1,Pcsk4
mmu-miR-486a-3p,1,Ttyh3
mmu-miR-96-5p,2,Adcy6
mmu-miR-96-5p,2,Farp1
mmu-miR-96-5p,2,Foxq1
mmu-miR-96-5p,2,Hbegf
mmu-miR-96-5p,2,Lrrc3
mmu-miR-96-5p,2,Ntn4
mmu-miR-96-5p,2,Prrx1
mmu-miR-96-5p,2,Rab3c
mmu-miR-96-5p,2,Rgs2
mmu-miR-96-5p,2,Serpinb2
mmu-miR-96-5p,2,Sh3bp5
mmu-miR-96-5p,2,Slc12a6
mmu-miR-96-5p,2,Slc6a9
mmu-miR-96-5p,2,Sox5
mmu-miR-96-5p,2,Trib3
mmu-miR-96-5p,2,Tsku
mmu-miR-96-5p,2,Ttyh3
mmu-miR-99a-5p,1,Ctdspl